sample_id,target_state,protocol,hippocampus,amygdala,pfc,sensory,insula,motor,cue_strength,stimulation_strength,feedback_strength,similarity_to_target,reconstruction_error,safety_risk
S00192,childhood,cue,0.7603,0.5168,0.2786,0.7116,0.4762,0.4480,0.2439,0.3113,0.3252,0.9805,0.1659,0.4060
S00193,childhood,neurofeedback,0.7422,0.5395,0.5414,0.6535,0.6066,0.4175,0.8338,0.1535,0.9471,0.9900,0.1184,0.3207
S00194,childhood,dbs,0.7679,0.4430,0.5472,0.7333,0.5578,0.2772,0.6604,0.6885,0.6009,0.9962,0.1060,0.5430
S00195,childhood,mimo,0.8306,0.5525,0.5314,0.6468,0.3887,0.3550,0.8343,0.2409,0.2544,0.9839,0.1474,0.4026
S00196,childhood,cue,0.7387,0.3387,0.3322,0.7463,0.6000,0.4708,0.8535,0.3574,0.2308,0.9776,0.1678,0.3466
S00197,childhood,neurofeedback,0.5344,0.5182,0.3556,0.6231,0.5913,0.4561,0.2786,0.4734,0.2903,0.9712,0.2060,0.3403
S00198,childhood,dbs,0.8329,0.3849,0.4887,0.6319,0.6450,0.2272,0.8740,0.2525,0.6024,0.9930,0.1241,0.5542
S00199,childhood,mimo,0.6583,0.2962,0.2585,0.5841,0.5523,0.4915,0.3122,0.2697,0.2042,0.9627,0.2348,0.3809
S00200,childhood,cue,0.7581,0.3632,0.5038,0.6935,0.4602,0.4495,0.7912,0.5106,0.6997,0.9811,0.1647,0.2895
S00201,childhood,neurofeedback,0.6238,0.3289,0.5676,0.4986,0.6013,0.2124,0.1745,0.4764,0.6409,0.9763,0.2148,0.2401
S00202,childhood,dbs,0.5204,0.4875,0.5092,0.4683,0.4643,0.3113,0.3122,0.2889,0.3400,0.9748,0.2401,0.5505
S00203,childhood,mimo,0.6922,0.4423,0.4162,0.6691,0.3885,0.3533,0.3334,0.1692,0.8250,0.9891,0.1804,0.3733
S00204,childhood,cue,0.6695,0.4698,0.2781,0.5074,0.4622,0.5053,0.2810,0.2811,0.1993,0.9639,0.2334,0.3820
S00205,childhood,neurofeedback,0.7692,0.3493,0.5525,0.7126,0.5396,0.4245,0.7935,0.4049,0.8553,0.9840,0.1449,0.2378
S00206,childhood,dbs,0.7846,0.4874,0.5646,0.6859,0.6611,0.3605,0.8875,0.7033,0.7968,0.9939,0.0946,0.6083
S00207,childhood,mimo,0.7180,0.5526,0.4843,0.6457,0.5179,0.2969,0.4179,0.3157,0.3710,0.9956,0.1310,0.4492
S00208,childhood,cue,0.7021,0.3946,0.3944,0.6099,0.4800,0.3651,0.5501,0.1806,0.3789,0.9927,0.1781,0.3299
S00209,childhood,neurofeedback,0.7779,0.5699,0.5411,0.5794,0.5943,0.2667,0.8117,0.3189,0.3401,0.9919,0.1238,0.3292
S00210,childhood,dbs,0.7688,0.4514,0.4888,0.6422,0.4900,0.4102,0.8794,0.3859,0.8107,0.9898,0.1437,0.5416
S00211,childhood,mimo,0.7875,0.5641,0.3207,0.5546,0.5747,0.4546,0.3489,0.4241,0.2585,0.9786,0.1675,0.5083
S00212,childhood,cue,0.6179,0.4081,0.4572,0.5616,0.5875,0.3521,0.5041,0.5012,0.2491,0.9882,0.1862,0.3491
S00213,childhood,neurofeedback,0.7793,0.5330,0.4855,0.6367,0.4493,0.2950,0.4093,0.2177,0.6078,0.9935,0.1377,0.2968
S00214,childhood,dbs,0.7377,0.3972,0.5351,0.6474,0.4765,0.2826,0.5809,0.1251,0.3519,0.9926,0.1538,0.4833
S00215,childhood,mimo,0.8073,0.4257,0.4560,0.6301,0.4386,0.2392,0.1818,0.4269,0.6799,0.9941,0.1541,0.3696
S00216,childhood,cue,0.7831,0.5379,0.4789,0.6829,0.5254,0.3990,0.8139,0.2993,0.2699,0.9934,0.1137,0.3870
S00217,childhood,neurofeedback,0.6893,0.3374,0.4865,0.5368,0.5195,0.3943,0.4106,0.1412,0.7165,0.9820,0.1974,0.2404
S00218,childhood,dbs,0.5388,0.5374,0.4912,0.4363,0.5327,0.2688,0.2449,0.1786,0.2524,0.9733,0.2330,0.6177
S00219,childhood,mimo,0.7147,0.5502,0.4481,0.7297,0.4135,0.4384,0.3084,0.2964,0.8310,0.9821,0.1573,0.4275
S00220,childhood,cue,0.6187,0.5591,0.4033,0.5391,0.5485,0.4237,0.2099,0.2402,0.4774,0.9788,0.1924,0.4170
S00221,childhood,neurofeedback,0.7451,0.5054,0.3658,0.6821,0.5493,0.3035,0.7090,0.2212,0.7616,0.9978,0.1284,0.3258
S00222,childhood,dbs,0.7042,0.5242,0.3892,0.6540,0.5000,0.2308,0.3578,0.6199,0.3025,0.9980,0.1500,0.6285
S00223,childhood,mimo,0.8578,0.5757,0.3942,0.7493,0.4749,0.2369,0.6823,0.4778,0.4203,0.9935,0.1098,0.4697
S00224,childhood,cue,0.7668,0.5009,0.2647,0.7118,0.4563,0.3469,0.6873,0.4738,0.2852,0.9866,0.1639,0.3970
S00225,childhood,neurofeedback,0.6567,0.3425,0.4960,0.6308,0.4579,0.3730,0.4334,0.3482,0.5878,0.9851,0.1917,0.2286
S00226,childhood,dbs,0.6323,0.3558,0.3442,0.5845,0.5122,0.2666,0.6750,0.1906,0.2412,0.9971,0.2055,0.5291
S00227,childhood,mimo,0.7797,0.5341,0.4680,0.5556,0.3861,0.3334,0.3645,0.1216,0.6873,0.9840,0.1767,0.4072
S00228,childhood,cue,0.5586,0.3638,0.5152,0.5408,0.5531,0.2115,0.4714,0.1799,0.2898,0.9853,0.2179,0.3098
S00229,childhood,neurofeedback,0.6041,0.5362,0.4172,0.5947,0.6318,0.2619,0.4502,0.4931,0.8528,0.9897,0.1690,0.3446
S00230,childhood,dbs,0.6738,0.4545,0.4706,0.7122,0.5798,0.2173,0.6569,0.1552,0.9040,0.9969,0.1351,0.5840
S00231,childhood,mimo,0.7460,0.2931,0.3547,0.5827,0.5391,0.3686,0.2045,0.6722,0.2403,0.9844,0.1939,0.3535
S00232,childhood,cue,0.7035,0.3511,0.3809,0.6825,0.4727,0.4676,0.5185,0.5403,0.2262,0.9788,0.1877,0.3118
S00233,childhood,neurofeedback,0.7352,0.4070,0.5284,0.5934,0.4381,0.3821,0.7815,0.6416,0.2099,0.9847,0.1758,0.2426
S00234,childhood,dbs,0.6900,0.3374,0.3926,0.6284,0.3756,0.2250,0.4577,0.1912,0.5479,0.9924,0.2109,0.4481
S00235,childhood,mimo,0.7761,0.4299,0.4439,0.7060,0.4846,0.3981,0.8603,0.3380,0.1934,0.9915,0.1367,0.3872
S00236,childhood,cue,0.8183,0.3516,0.3410,0.6761,0.5573,0.4049,0.8715,0.2952,0.5676,0.9858,0.1551,0.3402
S00237,childhood,neurofeedback,0.6955,0.5325,0.5353,0.6772,0.5775,0.3158,0.7251,0.5501,0.2362,0.9943,0.1204,0.3135
S00238,childhood,dbs,0.7808,0.5885,0.3922,0.6900,0.5826,0.2507,0.8482,0.6233,0.5363,0.9970,0.1059,0.7045
S00239,childhood,mimo,0.8640,0.5676,0.4269,0.6523,0.4941,0.3529,0.8327,0.5774,0.3689,0.9923,0.1161,0.4634
S00240,flow,cue,0.3151,0.2859,0.5560,0.6421,0.4592,0.6994,0.6061,0.2405,0.6493,0.9957,0.1121,0.2448
S00241,flow,neurofeedback,0.4212,0.3939,0.5352,0.5988,0.5093,0.5610,0.5565,0.5203,0.4840,0.9760,0.1630,0.2507
S00242,flow,dbs,0.4187,0.2631,0.6148,0.3965,0.5031,0.4624,0.3293,0.2703,0.8215,0.9661,0.2113,0.3737
S00243,flow,mimo,0.3870,0.4331,0.5474,0.6588,0.5533,0.5192,0.7274,0.5993,0.3801,0.9650,0.1762,0.3839
S00244,flow,cue,0.3868,0.3931,0.5385,0.5960,0.5096,0.7139,0.7640,0.6669,0.7137,0.9890,0.1173,0.3076
S00245,flow,neurofeedback,0.2927,0.3404,0.5397,0.4887,0.4707,0.4472,0.4018,0.3771,0.5953,0.9744,0.2129,0.2233
S00246,flow,dbs,0.4074,0.2902,0.4834,0.4625,0.3472,0.5705,0.4924,0.4636,0.4365,0.9868,0.1981,0.3749
S00247,flow,mimo,0.3568,0.4692,0.6055,0.6262,0.3164,0.6186,0.3886,0.2511,0.7521,0.9744,0.1628,0.3235
S00248,flow,cue,0.3584,0.3236,0.4969,0.6367,0.5175,0.5566,0.3567,0.6696,0.9060,0.9791,0.1663,0.2872
S00249,flow,neurofeedback,0.3725,0.1929,0.4715,0.5987,0.5218,0.6829,0.8586,0.2204,0.9150,0.9875,0.1458,0.1916
S00250,flow,dbs,0.3124,0.3054,0.5556,0.4953,0.3720,0.6857,0.6172,0.6839,0.7475,0.9973,0.1465,0.3721
S00251,flow,mimo,0.3942,0.3796,0.5646,0.6009,0.4462,0.6217,0.4464,0.1301,0.6886,0.9873,0.1380,0.3233
S00252,flow,cue,0.3625,0.3118,0.5277,0.5222,0.4226,0.6212,0.7122,0.3826,0.4661,0.9937,0.1548,0.2531
S00253,flow,neurofeedback,0.3876,0.3097,0.5181,0.4580,0.4588,0.6110,0.6835,0.3439,0.9096,0.9892,0.1686,0.2135
S00254,flow,dbs,0.3392,0.3789,0.4705,0.4702,0.4974,0.6490,0.6167,0.4275,0.2788,0.9830,0.1704,0.4992
S00255,flow,mimo,0.3713,0.2756,0.4000,0.5550,0.3000,0.6083,0.1539,0.1789,0.7305,0.9820,0.2048,0.2682
S00256,flow,cue,0.3597,0.1819,0.4157,0.4616,0.4768,0.5133,0.5524,0.3387,0.4031,0.9805,0.2233,0.2313
S00257,flow,neurofeedback,0.3946,0.4095,0.6414,0.4093,0.4316,0.4600,0.3444,0.4510,0.2906,0.9597,0.2137,0.2238
S00258,flow,dbs,0.4330,0.3414,0.5561,0.6182,0.4316,0.6586,0.5655,0.3631,0.6220,0.9892,0.1277,0.4201
S00259,flow,mimo,0.3877,0.4243,0.6320,0.5709,0.3609,0.5732,0.5083,0.3581,0.5517,0.9787,0.1615,0.3070
S00260,flow,cue,0.3555,0.2126,0.4427,0.4362,0.3480,0.6523,0.4868,0.3353,0.3251,0.9927,0.1969,0.2085
S00261,flow,neurofeedback,0.4094,0.2324,0.5981,0.5024,0.4886,0.5442,0.6630,0.4328,0.8137,0.9852,0.1670,0.1787
S00262,flow,dbs,0.3608,0.3321,0.5774,0.4539,0.3872,0.4585,0.3823,0.6406,0.5395,0.9765,0.2121,0.3897
S00263,flow,mimo,0.3828,0.3244,0.5422,0.5221,0.5290,0.5069,0.2843,0.6067,0.7262,0.9766,0.1830,0.3234
S00264,flow,cue,0.4869,0.3718,0.4511,0.3625,0.4827,0.5548,0.1447,0.2750,0.2940,0.9557,0.2243,0.3092
S00265,flow,neurofeedback,0.4000,0.2387,0.6390,0.5456,0.4993,0.5537,0.7643,0.4805,0.7857,0.9860,0.1509,0.1764
S00266,flow,dbs,0.3197,0.2354,0.5361,0.5822,0.3316,0.6335,0.7877,0.4226,0.4858,0.9953,0.1599,0.3135
S00267,flow,mimo,0.3794,0.2835,0.4795,0.5938,0.3884,0.6691,0.8176,0.5849,0.6694,0.9912,0.1504,0.2784
S00268,flow,cue,0.2888,0.4201,0.4126,0.5903,0.4048,0.4295,0.1782,0.2003,0.5317,0.9523,0.2424,0.3195
S00269,flow,neurofeedback,0.3045,0.3726,0.4912,0.5971,0.4154,0.4935,0.6502,0.3095,0.4398,0.9749,0.1994,0.2319
S00270,flow,dbs,0.3266,0.2741,0.5827,0.5593,0.5230,0.6066,0.3962,0.4529,0.3530,0.9921,0.1386,0.3994
S00271,flow,mimo,0.4070,0.2340,0.6709,0.4747,0.3333,0.5057,0.3708,0.4503,0.7076,0.9779,0.1928,0.1941
S00272,flow,cue,0.3660,0.3858,0.5291,0.6150,0.5109,0.5999,0.4075,0.7107,0.6412,0.9823,0.1492,0.3066
S00273,flow,neurofeedback,0.3064,0.1851,0.4794,0.4378,0.3231,0.6922,0.5796,0.4295,0.3353,0.9946,0.1891,0.1488
S00274,flow,dbs,0.4657,0.4839,0.4372,0.6047,0.3454,0.5591,0.1549,0.1741,0.3776,0.9516,0.2124,0.5254
S00275,flow,mimo,0.4318,0.4468,0.6365,0.5808,0.4581,0.6366,0.1579,0.2966,0.9076,0.9823,0.1329,0.3441
S00276,flow,cue,0.2800,0.2323,0.5215,0.6344,0.4741,0.4105,0.4686,0.4721,0.1719,0.9650,0.2184,0.2317
S00277,flow,neurofeedback,0.2826,0.3967,0.6159,0.4641,0.5350,0.5381,0.1744,0.5242,0.8069,0.9748,0.1797,0.2436
S00278,flow,dbs,0.3252,0.3412,0.4277,0.4732,0.5499,0.5985,0.7982,0.2441,0.3122,0.9761,0.1920,0.5065
S00279,flow,mimo,0.4147,0.4227,0.5916,0.6513,0.5207,0.5661,0.5965,0.4154,0.9383,0.9753,0.1512,0.3595
S00280,flow,cue,0.3188,0.4696,0.5611,0.5584,0.4775,0.4294,0.5020,0.3562,0.6991,0.9531,0.2167,0.3290
S00281,flow,neurofeedback,0.3324,0.3168,0.5127,0.5672,0.3977,0.6679,0.2897,0.4028,0.6405,0.9947,0.1442,0.2050
S00282,flow,dbs,0.2981,0.2344,0.6514,0.3991,0.5034,0.4244,0.3160,0.2615,0.4958,0.9649,0.2236,0.3418
S00283,flow,mimo,0.3495,0.3823,0.4428,0.6160,0.4302,0.6157,0.3400,0.4573,0.6043,0.9795,0.1717,0.3484
S00284,flow,cue,0.4699,0.2576,0.5072,0.5393,0.3376,0.6299,0.1159,0.1927,0.8439,0.9841,0.1718,0.2129
S00285,flow,neurofeedback,0.2900,0.4072,0.5158,0.5431,0.4413,0.6531,0.3292,0.4990,0.2659,0.9871,0.1547,0.2453
S00286,flow,dbs,0.4507,0.2949,0.5376,0.6063,0.4146,0.4574,0.6157,0.2827,0.5059,0.9675,0.1999,0.3868
S00287,flow,mimo,0.4477,0.3571,0.3245,0.4556,0.4880,0.3867,0.2335,0.1818,0.2010,0.9260,0.2801,0.3788
S00288,flow,cue,0.4552,0.1851,0.5311,0.6167,0.3858,0.5015,0.3273,0.4959,0.2550,0.9732,0.1943,0.1878
S00289,flow,neurofeedback,0.3767,0.3191,0.5781,0.5430,0.3842,0.5315,0.2416,0.4786,0.6548,0.9861,0.1745,0.1926
S00290,flow,dbs,0.3475,0.3139,0.4806,0.6168,0.5482,0.5904,0.1001,0.6092,0.8284,0.9807,0.1613,0.4697
S00291,flow,mimo,0.3276,0.4136,0.5382,0.5199,0.3606,0.5436,0.4294,0.4563,0.4658,0.9794,0.1904,0.3231
S00292,flow,cue,0.4105,0.2387,0.4577,0.5965,0.4550,0.4778,0.6943,0.6053,0.4803,0.9716,0.2065,0.2427
S00293,flow,neurofeedback,0.4347,0.1986,0.4524,0.4975,0.3725,0.5230,0.1818,0.2815,0.7222,0.9808,0.2141,0.1676
S00294,flow,dbs,0.3335,0.3305,0.4612,0.6429,0.4948,0.6725,0.8613,0.1536,0.7705,0.9855,0.1445,0.4671
S00295,flow,mimo,0.3716,0.4564,0.5575,0.5657,0.3760,0.5579,0.1268,0.3965,0.7668,0.9736,0.1794,0.3445
S00296,flow,cue,0.3361,0.2410,0.5595,0.5175,0.3533,0.4913,0.2590,0.6525,0.8409,0.9885,0.2000,0.1989
S00297,flow,neurofeedback,0.3155,0.2162,0.5579,0.5963,0.5651,0.5747,0.5770,0.3428,0.2216,0.9848,0.1555,0.1943
S00298,flow,dbs,0.4129,0.2992,0.5259,0.6136,0.4393,0.5101,0.8853,0.5931,0.7554,0.9779,0.1795,0.4030
S00299,flow,mimo,0.3324,0.4263,0.6434,0.5486,0.3057,0.4803,0.2493,0.3286,0.7359,0.9649,0.2033,0.2901
S00300,flow,cue,0.4167,0.2538,0.5548,0.5423,0.4258,0.5384,0.2484,0.1312,0.8355,0.9862,0.1730,0.2229
S00301,flow,neurofeedback,0.4344,0.2058,0.6240,0.3737,0.4098,0.3800,0.1884,0.4339,0.2033,0.9515,0.2501,0.1496
S00302,flow,dbs,0.4735,0.2609,0.5392,0.5961,0.3178,0.6448,0.3931,0.4836,0.2067,0.9833,0.1593,0.3252
S00303,flow,mimo,0.3150,0.2721,0.6294,0.6370,0.3110,0.6036,0.7589,0.2795,0.1825,0.9883,0.1519,0.2168
S00304,flow,cue,0.3978,0.3017,0.4744,0.5913,0.5426,0.4127,0.6994,0.3691,0.2344,0.9543,0.2221,0.2881
S00305,flow,neurofeedback,0.3245,0.2682,0.6461,0.4882,0.4889,0.6403,0.3819,0.3091,0.9432,0.9947,0.1319,0.1837
S00306,flow,dbs,0.4603,0.3659,0.5737,0.6367,0.3955,0.5131,0.4580,0.3583,0.7311,0.9705,0.1778,0.4179
S00307,flow,mimo,0.3371,0.2333,0.5461,0.5261,0.4239,0.6199,0.5429,0.4538,0.8907,0.9977,0.1536,0.2475
S00308,flow,cue,0.4139,0.3632,0.5264,0.6329,0.4555,0.4547,0.6789,0.5957,0.2883,0.9635,0.1988,0.2838
S00309,flow,neurofeedback,0.4153,0.2478,0.6404,0.5872,0.3490,0.6722,0.7537,0.3699,0.8443,0.9930,0.1246,0.1501
S00310,flow,dbs,0.3350,0.3170,0.5548,0.5109,0.3630,0.4973,0.2766,0.1503,0.7353,0.9855,0.1971,0.3770
S00311,flow,mimo,0.3012,0.2180,0.5652,0.5372,0.4686,0.4994,0.1681,0.4211,0.7691,0.9869,0.1865,0.2476
S00312,flow,cue,0.3793,0.2866,0.4840,0.5880,0.3250,0.5078,0.8393,0.1738,0.6874,0.9796,0.2037,0.2273
S00313,flow,neurofeedback,0.4266,0.3889,0.4664,0.4782,0.5539,0.6851,0.7545,0.2398,0.4491,0.9754,0.1638,0.2688
S00314,flow,dbs,0.2838,0.3321,0.4326,0.4655,0.4932,0.4381,0.1182,0.2454,0.5804,0.9677,0.2390,0.4768
S00315,flow,mimo,0.3105,0.3475,0.4949,0.5425,0.3714,0.6843,0.3272,0.5935,0.6444,0.9922,0.1548,0.3025
S00316,flow,cue,0.3400,0.4364,0.4986,0.5049,0.4156,0.5169,0.4046,0.7060,0.2297,0.9716,0.2035,0.3121
S00317,flow,neurofeedback,0.4158,0.2242,0.6673,0.4840,0.4984,0.5705,0.2256,0.3281,0.4315,0.9844,0.1545,0.1664
S00318,flow,dbs,0.2882,0.3041,0.6928,0.5323,0.4688,0.5255,0.2214,0.6583,0.6755,0.9830,0.1622,0.3644
S00319,flow,mimo,0.4495,0.4351,0.4807,0.5874,0.4346,0.4419,0.2654,0.2031,0.5831,0.9496,0.2222,0.3676
S00320,flow,cue,0.3303,0.4448,0.5897,0.5917,0.5369,0.4921,0.5459,0.6892,0.2447,0.9651,0.1839,0.3266
S00321,flow,neurofeedback,0.4100,0.3401,0.4534,0.5430,0.3369,0.4453,0.7233,0.1841,0.2978,0.9651,0.2321,0.2111
S00322,flow,dbs,0.3686,0.2588,0.4917,0.4485,0.5024,0.4600,0.6696,0.3444,0.8317,0.9742,0.2196,0.4098
S00323,flow,mimo,0.3755,0.2749,0.5990,0.6017,0.4337,0.5307,0.8417,0.7114,0.8437,0.9858,0.1605,0.2590
S00324,flow,cue,0.3589,0.3257,0.5984,0.4985,0.5503,0.5724,0.5202,0.6455,0.7795,0.9839,0.1560,0.2757
S00325,flow,neurofeedback,0.4597,0.3256,0.5058,0.5349,0.3181,0.5567,0.3329,0.3588,0.3936,0.9765,0.1938,0.1937
S00326,flow,dbs,0.3530,0.3139,0.4710,0.5555,0.4977,0.4533,0.8503,0.5377,0.2582,0.9696,0.2117,0.4534
S00327,flow,mimo,0.3322,0.3468,0.4735,0.5567,0.4019,0.6724,0.1988,0.1885,0.5095,0.9905,0.1557,0.3155
S00328,flow,cue,0.4164,0.3120,0.4288,0.6010,0.4014,0.5735,0.2201,0.6413,0.2931,0.9776,0.1876,0.2679
S00329,flow,neurofeedback,0.4218,0.2489,0.5539,0.5437,0.3875,0.3953,0.7843,0.4461,0.1546,0.9639,0.2264,0.1720
S00330,flow,dbs,0.2536,0.4276,0.5680,0.5939,0.3555,0.6643,0.1391,0.2090,0.6726,0.9841,0.1534,0.4478
S00331,flow,mimo,0.3659,0.3525,0.6408,0.5128,0.3771,0.5481,0.5760,0.5924,0.2919,0.9844,0.1674,0.2731
S00332,flow,cue,0.3885,0.3798,0.5291,0.4621,0.4986,0.5856,0.6557,0.2847,0.5716,0.9803,0.1738,0.3010
S00333,flow,neurofeedback,0.4521,0.2743,0.4571,0.5385,0.4384,0.5959,0.5871,0.3099,0.5703,0.9819,0.1782,0.2068
S00334,flow,dbs,0.4530,0.3995,0.6601,0.4549,0.3891,0.5409,0.1192,0.4953,0.2443,0.9704,0.1826,0.4114
S00335,flow,mimo,0.3945,0.2937,0.5612,0.5401,0.2863,0.4147,0.5054,0.3144,0.1549,0.9653,0.2310,0.2365
S00336,flow,cue,0.3703,0.3026,0.5944,0.5579,0.4980,0.6830,0.4852,0.4963,0.8636,0.9960,0.1104,0.2538
S00337,flow,neurofeedback,0.4285,0.2572,0.4938,0.6257,0.4719,0.6465,0.7396,0.6528,0.4329,0.9869,0.1435,0.2012
S00338,flow,dbs,0.3804,0.2687,0.4914,0.5886,0.3385,0.4730,0.3516,0.1390,0.4811,0.9768,0.2113,0.3539
S00339,flow,mimo,0.4405,0.3701,0.5363,0.5939,0.3235,0.6525,0.4861,0.4200,0.3022,0.9821,0.1561,0.2912
S00340,flow,cue,0.4182,0.3825,0.5093,0.4997,0.4026,0.3917,0.6709,0.4334,0.1533,0.9533,0.2390,0.2831
S00341,flow,neurofeedback,0.3089,0.2918,0.4231,0.4200,0.3516,0.3810,0.3567,0.2355,0.3713,0.9736,0.2725,0.2016
S00342,flow,dbs,0.2940,0.3491,0.4912,0.5335,0.3511,0.5487,0.6635,0.2900,0.3459,0.9871,0.1952,0.4154
S00343,flow,mimo,0.4000,0.2770,0.6375,0.6103,0.4882,0.5975,0.5742,0.6217,0.7095,0.9899,0.1264,0.2662
S00344,flow,cue,0.4158,0.3122,0.4319,0.4805,0.5279,0.5659,0.4746,0.3934,0.6976,0.9734,0.1962,0.2977
S00345,flow,neurofeedback,0.3516,0.3175,0.4408,0.5678,0.4386,0.4082,0.4626,0.1382,0.5303,0.9624,0.2346,0.2249
S00346,flow,dbs,0.3730,0.3249,0.6340,0.5124,0.3904,0.6445,0.5262,0.3605,0.4808,0.9937,0.1348,0.3677
S00347,flow,mimo,0.3911,0.3461,0.5666,0.5642,0.4558,0.6546,0.6301,0.1667,0.8947,0.9924,0.1281,0.3086
S00348,flow,cue,0.2996,0.4194,0.6077,0.6177,0.4566,0.4017,0.4031,0.4166,0.6781,0.9538,0.2136,0.2926
S00349,flow,neurofeedback,0.4412,0.2619,0.6844,0.5335,0.5577,0.5246,0.6452,0.3100,0.6062,0.9749,0.1606,0.1887
S00350,flow,dbs,0.4065,0.3923,0.4829,0.6053,0.5109,0.4613,0.3954,0.4493,0.1925,0.9587,0.2061,0.5098
S00351,flow,mimo,0.3611,0.4502,0.6409,0.5101,0.5445,0.6102,0.6300,0.4049,0.3006,0.9781,0.1481,0.3687
S00352,flow,cue,0.3472,0.3143,0.5872,0.5985,0.4258,0.4835,0.8922,0.1708,0.6638,0.9794,0.1807,0.2431
S00353,flow,neurofeedback,0.3669,0.2878,0.5751,0.5094,0.5621,0.5911,0.5624,0.6281,0.3394,0.9859,0.1519,0.2165
S00354,flow,dbs,0.3755,0.2496,0.6510,0.5213,0.4599,0.6728,0.8869,0.7102,0.7731,0.9967,0.1148,0.3360
S00355,flow,mimo,0.3732,0.3225,0.6308,0.5343,0.5450,0.6529,0.3748,0.5871,0.5251,0.9915,0.1177,0.3065
S00356,flow,cue,0.2249,0.4884,0.5739,0.5363,0.3391,0.3948,0.1491,0.4039,0.2853,0.9408,0.2494,0.3015
S00357,flow,neurofeedback,0.3659,0.2156,0.4914,0.5476,0.3373,0.5805,0.1114,0.1869,0.2897,0.9921,0.1858,0.1605
S00358,flow,dbs,0.4346,0.3776,0.4532,0.5441,0.4766,0.4822,0.8472,0.2125,0.5468,0.9624,0.2110,0.4958
S00359,flow,mimo,0.4078,0.3347,0.5263,0.5834,0.4117,0.4628,0.4190,0.3008,0.7469,0.9712,0.2004,0.2999
S00360,grief,cue,0.6460,0.7303,0.3298,0.5860,0.6730,0.2430,0.6463,0.1446,0.8842,0.9982,0.1045,0.5369
S00361,grief,neurofeedback,0.5932,0.6525,0.3036,0.5324,0.6271,0.4235,0.6875,0.4732,0.3059,0.9833,0.1669,0.4037
S00362,grief,dbs,0.6625,0.6088,0.4737,0.6009,0.5733,0.3809,0.2545,0.1342,0.2236,0.9730,0.1759,0.6891
S00363,grief,mimo,0.6775,0.6505,0.4360,0.5714,0.7095,0.2501,0.8737,0.6576,0.7065,0.9912,0.1221,0.5627
S00364,grief,cue,0.5643,0.7055,0.2779,0.5203,0.5675,0.4385,0.7217,0.3497,0.4161,0.9799,0.1789,0.5110
S00365,grief,neurofeedback,0.5766,0.5801,0.4074,0.4743,0.6151,0.4242,0.6147,0.6676,0.7223,0.9738,0.1965,0.3587
S00366,grief,dbs,0.7098,0.6743,0.3621,0.5813,0.6748,0.3869,0.8237,0.4648,0.5623,0.9880,0.1257,0.8100
S00367,grief,mimo,0.6878,0.6625,0.4603,0.4932,0.6103,0.4270,0.8480,0.3354,0.6955,0.9763,0.1649,0.5358
S00368,grief,cue,0.6727,0.6246,0.3105,0.3979,0.5893,0.3824,0.4073,0.2346,0.7067,0.9818,0.1853,0.4742
S00369,grief,neurofeedback,0.6649,0.5813,0.5007,0.3909,0.4493,0.3996,0.5324,0.3046,0.5772,0.9510,0.2390,0.3115
S00370,grief,dbs,0.7189,0.5268,0.2689,0.5606,0.6027,0.4318,0.7994,0.2094,0.6135,0.9677,0.1971,0.7082
S00371,grief,mimo,0.6805,0.6615,0.2689,0.5085,0.6407,0.2195,0.7350,0.3937,0.2866,0.9971,0.1396,0.5877
S00372,grief,cue,0.7100,0.6807,0.4255,0.5421,0.5073,0.2077,0.8807,0.4656,0.2599,0.9841,0.1636,0.4562
S00373,grief,neurofeedback,0.5774,0.6492,0.2611,0.4572,0.4233,0.1993,0.1326,0.1800,0.8279,0.9898,0.2208,0.3697
S00374,grief,dbs,0.5989,0.6101,0.4507,0.5233,0.4904,0.2193,0.6539,0.2437,0.6619,0.9807,0.1988,0.6656
S00375,grief,mimo,0.5244,0.5178,0.4336,0.5230,0.4494,0.3642,0.2885,0.1905,0.5742,0.9603,0.2472,0.4243
S00376,grief,cue,0.5112,0.6215,0.2909,0.4667,0.5281,0.4220,0.4795,0.2258,0.6861,0.9764,0.2170,0.4620
S00377,grief,neurofeedback,0.6390,0.6032,0.3534,0.4543,0.6306,0.2516,0.4880,0.1896,0.8661,0.9934,0.1664,0.3787
S00378,grief,dbs,0.6546,0.5313,0.4693,0.4658,0.5736,0.2178,0.2765,0.4026,0.5375,0.9768,0.2019,0.6361
S00379,grief,mimo,0.5835,0.4778,0.3275,0.6031,0.5826,0.3848,0.1477,0.2019,0.8313,0.9664,0.2180,0.4653
S00380,grief,cue,0.6671,0.7258,0.3118,0.5685,0.6689,0.2500,0.7856,0.4135,0.9465,0.9984,0.1055,0.5375
S00381,grief,neurofeedback,0.5150,0.6491,0.2635,0.4790,0.5729,0.4110,0.1041,0.7081,0.1820,0.9812,0.1996,0.3985
S00382,grief,dbs,0.6657,0.5091,0.3285,0.5073,0.6448,0.4123,0.8599,0.1996,0.3866,0.9717,0.1968,0.6929
S00383,grief,mimo,0.6762,0.6999,0.2641,0.5919,0.5452,0.1584,0.7319,0.3423,0.5214,0.9915,0.1533,0.5819
S00384,grief,cue,0.5169,0.7041,0.4101,0.6004,0.4858,0.2794,0.1648,0.6485,0.7386,0.9792,0.1884,0.4644
